"Table 5. 28: Gross and Net attendance rates (%) in primary education (residents population aged 6-11) by sex, Province, and district",,,,,,,,,
,Province and District,"Gross Attendance Rates, GAR (%)",,,,"Net Attendance Rates, NAR (%)",,,
,,Both sexes,Male,Female,Gender parity index,Both sexes,Male,Female,Gender parity index
,Kigali City,,,,,,,,
,Nyarugenge,134.9,135.3,134.5,0.99,92.2,91.7,92.7,1.01
,Gasabo,131.8,131.2,132.5,1.01,90.4,89.8,91.0,1.01
,Kicukiro,132.2,131.7,132.7,1.01,92.9,92.3,93.5,1.01
,Southern Province,,,,,,,,
,Nyanza,141.8,141.5,142.2,1.00,89.0,87.4,90.5,1.04
,Gisagara,138.4,137.5,139.2,1.01,83.3,81.6,85.0,1.04
,Nyaruguru,151.0,152.6,149.4,0.98,88.1,86.9,89.3,1.03
,Huye,146.3,147.3,145.3,0.99,91.2,90.1,92.3,1.02
,Nyamagabe,156.8,157.3,156.4,0.99,88.7,87.4,90.0,1.03
,Ruhango,147.8,149.3,146.3,0.98,89.9,88.8,91.1,1.03
,Muhanga,147.0,148.9,145.0,0.97,96.0,95.4,96.7,1.01
,Kamonyi,146.0,146.8,145.2,0.99,93.9,93.2,94.7,1.02
,Western Province,,,,,,,,
,Karongi,148.6,150.1,147.0,0.98,92.4,91.4,93.3,1.02
,Rutsiro,138.9,138.7,139.0,1.00,87.7,86.6,88.8,1.03
,Rubavu,125.0,125.0,124.9,1.00,78.5,77.5,79.4,1.02
,Nyabihu,149.5,149.0,150.0,1.01,90.8,89.8,91.7,1.02
,Ngororero,142.5,143.0,142.0,0.99,91.6,90.9,92.2,1.01
,Rusizi,137.0,137.1,136.9,1.00,86.6,85.6,87.5,1.02
,Nyamasheke,146.0,147.6,144.4,0.98,92.1,91.3,92.9,1.02
,Northern Province,,,,,,,,
,Rulindo,141.9,142.2,141.5,1.00,94.8,94.2,95.3,1.01
,Gakenke,149.1,149.6,148.5,0.99,95.2,94.6,95.9,1.01
,Musanze,138.4,138.5,138.3,1.00,91.0,90.2,91.8,1.02
,Burera,149.5,148.8,150.2,1.01,92.7,91.8,93.6,1.02
,Gicumbi,142.9,143.2,142.7,1.00,91.5,90.5,92.4,1.02
,Eastern Province,,,,,,,,
,Rwamagana,136.9,136.6,137.3,1.01,89.9,88.7,91.0,1.03
,Nyagatare,140.1,140.6,139.5,0.99,86.2,85.0,87.4,1.03
,Gatsibo,143.3,143.4,143.1,1.00,87.2,86.1,88.3,1.03
,Kayonza,141.8,141.1,142.5,1.01,86.8,85.6,88.1,1.03
,Kirehe,151.2,151.9,150.4,0.99,90.0,89.2,90.8,1.02
,Ngoma,139.5,140.0,138.9,0.99,85.4,84.1,86.8,1.03
,Bugesera,139.8,139.8,139.8,1.00,86.5,85.3,87.8,1.03
